Statement Date,Transaction Date,UXR,Item Description,EDI Address,Party ID,Form Type,Internal Reference #1,Internal Reference #2,Internal Reference #3,Internal Reference #4,Internal Reference #5,User,TDEC Transaction,Import/Export Declaration Charge,TDEC Clothing Levy Charge,TDEC Penalty Charge,Total
2024/08/15,2024/08/15,4A39KJEA009U1F,TDEC TRANSACTION (4A39KJEA009U1F),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U1F)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U1F)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,200.0,0.0,0.0,200.0
2024/08/15,2024/08/15,4A39KJEA009U2E,TDEC TRANSACTION (4A39KJEA009U2E),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U2E)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U2E)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,169.0,0.0,0.0,169.0
2024/08/15,2024/08/15,4A39KJEA009U3D,TDEC TRANSACTION (4A39KJEA009U3D),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U3D)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U3D)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,40.4,0.0,0.0,40.4
2024/08/15,2024/08/15,4A39KJEA009U4C,TDEC TRANSACTION (4A39KJEA009U4C),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U4C)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U4C)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,200.0,0.0,0.0,200.0
2024/08/15,2024/08/15,4A39KJEA009U5B,TDEC TRANSACTION (4A39KJEA009U5B),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U5B)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U5B)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,200.0,0.0,0.0,200.0
2024/08/15,2024/08/15,4A39KJEA009U6A,TDEC TRANSACTION (4A39KJEA009U6A),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U6A)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U6A)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,200.0,0.0,0.0,200.0
2024/08/15,2024/08/15,4A39KJEA009U79,TDEC TRANSACTION (4A39KJEA009U79),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U79)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U79)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,62.0,0.0,0.0,62.0
2024/08/15,2024/08/15,4A39KJEA009U88,TDEC TRANSACTION (4A39KJEA009U88),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U88)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U88)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,200.0,0.0,0.0,200.0
2024/08/15,2024/08/15,4A39KJEA009U97,TDEC TRANSACTION (4A39KJEA009U97),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009U97)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009U97)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,32.5,0.0,0.0,32.5
2024/08/15,2024/08/15,4A39KJEA009UA6,TDEC TRANSACTION (4A39KJEA009UA6),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UA6)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UA6)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,0.2,0.0,0.0,0.2
2024/08/15,2024/08/15,4A39KJEA009UB5,TDEC TRANSACTION (4A39KJEA009UB5),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UB5)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UB5)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,107.1,0.0,0.0,107.1
2024/08/15,2024/08/15,4A39KJEA009UC4,TDEC TRANSACTION (4A39KJEA009UC4),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UC4)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UC4)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,0.2,0.0,0.0,0.2
2024/08/15,2024/08/15,4A39KJEA009UD3,TDEC TRANSACTION (4A39KJEA009UD3),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UD3)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UD3)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,36.9,0.0,0.0,36.9
2024/08/15,2024/08/15,4A39KJEA009UF1,TDEC TRANSACTION (4A39KJEA009UF1),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UF1)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UF1)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,2.5,0.0,0.0,2.5
2024/08/15,2024/08/15,4A39KJEA009UE2,TDEC TRANSACTION (4A39KJEA009UE2),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UE2)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UE2)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,74.6,0.0,0.0,74.6
2024/08/15,2024/08/15,4A39KJEA009UG0,TDEC TRANSACTION (4A39KJEA009UG0),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UG0)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UG0)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,51.2,0.0,0.0,51.2
2024/08/15,2024/08/15,4A39KJEA009UHZ,TDEC TRANSACTION (4A39KJEA009UHZ),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UHZ)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UHZ)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,112.5,0.0,0.0,112.5
2024/08/15,2024/08/15,4A39KJEA009UIY,TDEC TRANSACTION (4A39KJEA009UIY),39958258001.TL,39958258001.TL,,,,,,,tmka92634,16.6,0.0,0.0,0.0,16.6
2024/08/15,2024/08/15,4A39KJEA009UIY)Form Type -  Export Form ,IMPORT/EXPORT DECLARATION CHARGE (4A39KJEA009UIY)Form Type -  Export Form 2,39958258001.TL,39958258001.TL,,,,,,,tmka92634,0.0,199.6,0.0,0.0,199.6
