Statement Date,Transaction Date,UXR,Item Description,EDI Address,Party ID,Form Type,Internal Reference #1,Internal Reference #2,Internal Reference #3,Internal Reference #4,Internal Reference #5,User,TDEC Transaction,Import/Export Declaration Charge,TDEC Clothing Levy Charge,TDEC Penalty Charge,Total
14/8/2024,1/8/2024,4A39KJEA009LDU,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,70.6,,,87.2
14/8/2024,1/8/2024,4A39KJEA009LET,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,1.2,,,17.8
14/8/2024,1/8/2024,4A39KJEA009LFS,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,13.1,,,29.7
14/8/2024,1/8/2024,4A39KJEA009LGR,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,15.4,,,32
14/8/2024,1/8/2024,4A39KJEA009LHQ,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009LIP,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009LJO,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,25.5,,,42.1
14/8/2024,1/8/2024,4A39KJEA009LKN,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,146.4,,,163
14/8/2024,1/8/2024,4A39KJEA009LLM,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,24,,,40.6
14/8/2024,1/8/2024,4A39KJEA009LML,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,2.6,,,19.2
14/8/2024,1/8/2024,4A39KJEA009LNK,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,29,,,45.6
14/8/2024,1/8/2024,4A39KJEA009LPI,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,33.9,,,50.5
14/8/2024,1/8/2024,4A39KJEA009LOJ,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,114.7,,,131.3
14/8/2024,1/8/2024,4A39KJEA009LQH,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009LRG,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,31.2,,,47.8
14/8/2024,1/8/2024,4A39KJEA009LSF,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,11.9,,,28.5
14/8/2024,1/8/2024,4A39KJEA009LTE,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,4,,,20.6
14/8/2024,1/8/2024,4A39KJEA009LUD,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,26.6,,,43.2
14/8/2024,1/8/2024,4A39KJEA009LVC,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,59.2,,,75.8
14/8/2024,1/8/2024,4A39KJEA009LWB,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009LXA,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,7.4,,,24
14/8/2024,1/8/2024,4A39KJEA009LY9,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,145.7,,,162.3
14/8/2024,1/8/2024,4A39KJEA009M00,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,185.1,,,201.7
14/8/2024,1/8/2024,4A39KJEA009LZ8,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,46.2,,,62.8
14/8/2024,1/8/2024,4A39KJEA009M1Z,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009M2Y,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,1/8/2024,4A39KJEA009M3X,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,0.2,,,16.8
14/8/2024,2/8/2024,4A39KJEA009M4W,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,29.4,,,46
14/8/2024,2/8/2024,4A39KJEA009M5V,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,48.7,,,65.3
14/8/2024,2/8/2024,4A39KJEA009M6U,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,23.5,,,40.1
14/8/2024,2/8/2024,4A39KJEA009M7T,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,4.9,,,21.5
14/8/2024,2/8/2024,4A39KJEA009M8S,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,5.1,,,21.7
14/8/2024,2/8/2024,4A39KJEA009M9R,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,31.6,,,48.2
14/8/2024,2/8/2024,4A39KJEA009MAQ,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,27.7,,,44.3
14/8/2024,2/8/2024,4A39KJEA009MBP,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,24.9,,,41.5
14/8/2024,2/8/2024,4A39KJEA009MCO,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,135.1,,,151.7
14/8/2024,2/8/2024,4A39KJEA009MDN,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,10.9,,,27.5
14/8/2024,2/8/2024,4A39KJEA009MEM,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,2/8/2024,4A39KJEA009MFL,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,1,,,17.6
14/8/2024,2/8/2024,4A39KJEA009MGK,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,30,,,46.6
14/8/2024,2/8/2024,4A39KJEA009MHJ,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,20,,,36.6
14/8/2024,2/8/2024,4A39KJEA009MII,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,127.7,,,144.3
14/8/2024,2/8/2024,4A39KJEA009MJH,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,57.2,,,73.8
14/8/2024,2/8/2024,4A39KJEA009MKG,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,72.5,,,89.1
14/8/2024,2/8/2024,4A39KJEA009MLF,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,6.1,,,22.7
14/8/2024,2/8/2024,4A39KJEA009MME,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,2/8/2024,4A39KJEA009MND,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,0.2,,,16.8
14/8/2024,2/8/2024,4A39KJEA009MOC,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,2/8/2024,4A39KJEA009MPB,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,2/8/2024,4A39KJEA009MQA,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,0.2,,,16.8
14/8/2024,2/8/2024,4A39KJEA009MR9,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,0.2,,,16.8
14/8/2024,2/8/2024,4A39KJEA009MS8,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,2/8/2024,4A39KJEA009MT7,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,0.2,,,16.8
14/8/2024,2/8/2024,4A39KJEA009MU6,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,93.6,,,110.2
14/8/2024,5/8/2024,4A39KJEA009MV5,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,20.2,,,36.8
14/8/2024,5/8/2024,4A39KJEA009MW4,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,32.2,,,48.8
14/8/2024,5/8/2024,4A39KJEA009MX3,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,200,,,216.6
14/8/2024,5/8/2024,4A39KJEA009MY2,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,11.5,,,28.1
14/8/2024,5/8/2024,4A39KJEA009MZ1,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,9.9,,,26.5
14/8/2024,5/8/2024,4A39KJEA009N0T,TDEC TRANSACTION,39958258001.TL,39958258001.TL,Export Form 2,,,,,,tmka92634,16.6,9.1,,,25.7
